microchip;species;sex;size;potentDangerous;neighborhood
9,0025E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;MEDIANO;SI;USAQUEN
9,0025E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,0025E+14;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,0025E+14;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,0025E+14;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,0025E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;MEDIANO;SI;USAQUEN
9,0025E+14;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;GRANDE;NO;USAQUEN
9,0025E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;GRANDE;NO;USAQUEN
9,0025E+14;CANINO;MACHO;MEDIANO;NO;USAQUEN
9,0025E+14;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;MACHO;GRANDE;SI;USAQUEN
9,0025E+14;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
9,0025E+14;CANINO;HEMBRA;GRANDE;SI;USAQUEN
9,0025E+14;FELINO;MACHO;MEDIANO;NO;USAQUEN
